fecha,moneda,tf,tipo,entrada,tp,sl,vol_24h_m,entrada_tocada,resultado,precio_final
2026-01-31 23:46:37,AAVEUSDT,15m,BULL,130.42518,132.42518,129.36,168.33,PENDIENTE,EN_CURSO,
2026-01-31 23:46:43,XPLUSDT,15m,BULL,0.109655,0.112255,0.1083,125.21,PENDIENTE,EN_CURSO,
2026-01-31 23:46:46,ETHUSDT,15m,BULL,2461.920345,2494.470345,2444.415,24495.37,PENDIENTE,EN_CURSO,
2026-01-31 23:46:59,SOLUSDT,15m,BULL,105.93294,107.71294,104.99,5550.95,PENDIENTE,EN_CURSO,
2026-01-31 23:47:09,VIRTUALUSDT,15m,BULL,0.653026,0.665626,0.6464,83.41,PENDIENTE,EN_CURSO,
2026-01-31 23:47:23,HYPEUSDT,15m,BULL,32.606295,33.855295,31.9655,1045.83,PENDIENTE,EN_CURSO,
2026-01-31 23:47:32,ENAUSDT,15m,BULL,0.13987,0.14177,0.13885,301.1,PENDIENTE,EN_CURSO,
2026-01-31 23:47:33,WIFUSDT,5m,BULL,0.258329,0.260429,0.25715,137.11,PENDIENTE,EN_CURSO,
2026-01-31 23:59:12,CRVUSDT,15m,BULL,0.291145,0.296145,0.2885,109.65,PENDIENTE,EN_CURSO,
2026-01-31 23:59:13,AXSUSDT,5m,BEAR,1.707146,1.672146,1.7255,230.38,PENDIENTE,EN_CURSO,
2026-02-01 00:04:50,ZKUSDT,5m,BULL,0.027774,0.029064,0.027115,70.99,PENDIENTE,EN_CURSO,
2026-02-01 00:16:05,1000BONKUSDT,15m,BULL,0.007228,0.007317,0.00718,85.36,PENDIENTE,EN_CURSO,
2026-02-01 00:16:24,ICPUSDT,15m,BULL,2.770384,2.812385,2.748,101.69,PENDIENTE,EN_CURSO,
2026-02-01 00:16:45,ZECUSDT,15m,BULL,310.29507,316.58507,306.995,801.47,PENDIENTE,EN_CURSO,
2026-02-01 00:33:33,UNIUSDT,15m,BULL,4.026012,4.081012,3.9965,154.43,PENDIENTE,EN_CURSO,
2026-02-01 00:57:11,LINKUSDT,15m,BULL,10.080038,10.161037,10.0345,369.1,PENDIENTE,EN_CURSO,
2026-02-01 00:57:12,SENTUSDT,5m,BEAR,0.034303,0.033133,0.034905,520.28,PENDIENTE,EN_CURSO,
